uvue;isolation_aiu;isolation_aue;aiu_aue/gt;aiu_aue/lte;b;tv_coef_reduction_deperdition_id
0;1;0;;0.25;0.95;9
0;1;0;0.25;0.5;0.95;10
0;1;0;0.5;0.75;0.9;11
0;1;0;0.75;1;0.85;12
0;1;0;1;1.25;0.85;13
0;1;0;1.25;2;0.8;14
0;1;0;2;2.5;0.75;15
0;1;0;2.5;3;0.7;16
0;1;0;3;3.5;0.65;17
0;1;0;3.5;4;0.65;18
0;1;0;4;6;0.55;19
0;1;0;6;8;0.45;20
0;1;0;8;10;0.4;21
0;1;0;10;25;0.35;22
0;1;0;25;50;0.2;23
0;1;0;50;;0.1;24
0.3;1;0;;0.25;0.95;25
0.3;1;0;0.25;0.5;0.95;26
0.3;1;0;0.5;0.75;0.95;27
0.3;1;0;0.75;1;0.9;28
0.3;1;0;1;1.25;0.9;29
0.3;1;0;1.25;2;0.8;30
0.3;1;0;2;2.5;0.8;31
0.3;1;0;2.5;3;0.75;32
0.3;1;0;3;3.5;0.75;33
0.3;1;0;3.5;4;0.7;34
0.3;1;0;4;6;0.6;35
0.3;1;0;6;8;0.55;36
0.3;1;0;8;10;0.5;37
0.3;1;0;10;25;0.4;38
0.3;1;0;25;50;0.25;39
0.3;1;0;50;;0.15;40
3;1;0;;0.25;1;41
3;1;0;0.25;0.5;0.95;42
3;1;0;0.5;0.75;0.95;43
3;1;0;0.75;1;0.95;44
3;1;0;1;1.25;0.9;45
3;1;0;1.25;2;0.9;46
3;1;0;2;2.5;0.85;47
3;1;0;2.5;3;0.85;48
3;1;0;3;3.5;0.8;49
3;1;0;3.5;4;0.8;50
3;1;0;4;6;0.7;51
3;1;0;6;8;0.65;52
3;1;0;8;10;0.6;53
3;1;0;10;25;0.5;54
3;1;0;25;50;0.35;55
3;1;0;50;;0.2;56
9;1;0;;0.25;1;57
9;1;0;0.25;0.5;1;58
9;1;0;0.5;0.75;1;59
9;1;0;0.75;1;0.95;60
9;1;0;1;1.25;0.95;61
9;1;0;1.25;2;0.95;62
9;1;0;2;2.5;0.9;63
9;1;0;2.5;3;0.9;64
9;1;0;3;3.5;0.9;65
9;1;0;3.5;4;0.9;66
9;1;0;4;6;0.85;67
9;1;0;6;8;0.8;68
9;1;0;8;10;0.75;69
9;1;0;10;25;0.7;70
9;1;0;25;50;0.5;71
9;1;0;50;;0.3;72
0;0;0;;0.25;0.8;73
0;0;0;0.25;0.5;0.65;74
0;0;0;0.5;0.75;0.55;75
0;0;0;0.75;1;0.5;76
0;0;0;1;1.25;0.45;77
0;0;0;1.25;2;0.35;78
0;0;0;2;2.5;0.3;79
0;0;0;2.5;3;0.25;80
0;0;0;3;3.5;0.2;81
0;0;0;3.5;4;0.2;82
0;0;0;4;6;0.15;83
0;0;0;6;8;0.1;84
0;0;0;8;10;0.1;85
0;0;0;10;25;0.05;86
0;0;0;25;50;0.05;87
0;0;0;50;;0;88
0.3;0;0;;0.25;0.85;89
0.3;0;0;0.25;0.5;0.75;90
0.3;0;0;0.5;0.75;0.65;91
0.3;0;0;0.75;1;0.55;92
0.3;0;0;1;1.25;0.5;93
0.3;0;0;1.25;2;0.4;94
0.3;0;0;2;2.5;0.35;95
0.3;0;0;2.5;3;0.3;96
0.3;0;0;3;3.5;0.3;97
0.3;0;0;3.5;4;0.25;98
0.3;0;0;4;6;0.2;99
0.3;0;0;6;8;0.15;100
0.3;0;0;8;10;0.1;101
0.3;0;0;10;25;0.1;102
0.3;0;0;25;50;0.05;103
0.3;0;0;50;;0;104
3;0;0;;0.25;0.9;105
3;0;0;0.25;0.5;0.8;106
3;0;0;0.5;0.75;0.75;107
3;0;0;0.75;1;0.7;108
3;0;0;1;1.25;0.65;109
3;0;0;1.25;2;0.5;110
3;0;0;2;2.5;0.45;111
3;0;0;2.5;3;0.4;112
3;0;0;3;3.5;0.4;113
3;0;0;3.5;4;0.35;114
3;0;0;4;6;0.25;115
3;0;0;6;8;0.2;116
3;0;0;8;10;0.2;117
3;0;0;10;25;0.15;118
3;0;0;25;50;0.05;119
3;0;0;50;;0.05;120
9;0;0;;0.25;0.95;121
9;0;0;0.25;0.5;0.9;122
9;0;0;0.5;0.75;0.85;123
9;0;0;0.75;1;0.8;124
9;0;0;1;1.25;0.8;125
9;0;0;1.25;2;0.7;126
9;0;0;2;2.5;0.65;127
9;0;0;2.5;3;0.6;128
9;0;0;3;3.5;0.55;129
9;0;0;3.5;4;0.5;130
9;0;0;4;6;0.4;131
9;0;0;6;8;0.35;132
9;0;0;8;10;0.3;133
9;0;0;10;25;0.25;134
9;0;0;25;50;0.15;135
9;0;0;50;;0.05;136
0;0;1;;0.25;0.35;137
0;0;1;0.25;0.5;0.2;138
0;0;1;0.5;0.75;0.15;139
0;0;1;0.75;1;0.15;140
0;0;1;1;1.25;0.1;141
0;0;1;1.25;2;0.05;142
0;0;1;2;2.5;0.05;143
0;0;1;2.5;3;0.05;144
0;0;1;3;3.5;0.05;145
0;0;1;3.5;4;0.05;146
0;0;1;4;6;0;147
0;0;1;6;8;0;148
0;0;1;8;10;0;149
0;0;1;10;25;0;150
0;0;1;25;50;0;151
0;0;1;50;;0;152
0.3;0;1;;0.25;0.5;153
0.3;0;1;0.25;0.5;0.35;154
0.3;0;1;0.5;0.75;0.25;155
0.3;0;1;0.75;1;0.2;156
0.3;0;1;1;1.25;0.15;157
0.3;0;1;1.25;2;0.1;158
0.3;0;1;2;2.5;0.1;159
0.3;0;1;2.5;3;0.1;160
0.3;0;1;3;3.5;0.05;161
0.3;0;1;3.5;4;0.05;162
0.3;0;1;4;6;0.05;163
0.3;0;1;6;8;0.05;164
0.3;0;1;8;10;0.05;165
0.3;0;1;10;25;0;166
0.3;0;1;25;50;0;167
0.3;0;1;50;;0;168
3;0;1;;0.25;0.85;169
3;0;1;0.25;0.5;0.7;170
3;0;1;0.5;0.75;0.65;171
3;0;1;0.75;1;0.55;172
3;0;1;1;1.25;0.5;173
3;0;1;1.25;2;0.4;174
3;0;1;2;2.5;0.35;175
3;0;1;2.5;3;0.3;176
3;0;1;3;3.5;0.25;177
3;0;1;3.5;4;0.25;178
3;0;1;4;6;0.2;179
3;0;1;6;8;0.15;180
3;0;1;8;10;0.1;181
3;0;1;10;25;0.1;182
3;0;1;25;50;0.05;183
3;0;1;50;;0;184
9;0;1;;0.25;0.95;185
9;0;1;0.25;0.5;0.9;186
9;0;1;0.5;0.75;0.85;187
9;0;1;0.75;1;0.8;188
9;0;1;1;1.25;0.75;189
9;0;1;1.25;2;0.65;190
9;0;1;2;2.5;0.6;191
9;0;1;2.5;3;0.55;192
9;0;1;3;3.5;0.5;193
9;0;1;3.5;4;0.45;194
9;0;1;4;6;0.35;195
9;0;1;6;8;0.3;196
9;0;1;8;10;0.25;197
9;0;1;10;25;0.2;198
9;0;1;25;50;0.1;199
9;0;1;50;;0.05;200
0;1;1;;0.25;0.8;201
0;1;1;0.25;0.5;0.65;202
0;1;1;0.5;0.75;0.55;203
0;1;1;0.75;1;0.5;204
0;1;1;1;1.25;0.45;205
0;1;1;1.25;2;0.35;206
0;1;1;2;2.5;0.3;207
0;1;1;2.5;3;0.25;208
0;1;1;3;3.5;0.2;209
0;1;1;3.5;4;0.2;210
0;1;1;4;6;0.15;211
0;1;1;6;8;0.1;212
0;1;1;8;10;0.1;213
0;1;1;10;25;0.05;214
0;1;1;25;50;0.05;215
0;1;1;50;;0;216
0.3;1;1;;0.25;0.9;217
0.3;1;1;0.25;0.5;0.8;218
0.3;1;1;0.5;0.75;0.7;219
0.3;1;1;0.75;1;0.65;220
0.3;1;1;1;1.25;0.6;221
0.3;1;1;1.25;2;0.45;222
0.3;1;1;2;2.5;0.4;223
0.3;1;1;2.5;3;0.35;224
0.3;1;1;3;3.5;0.35;225
0.3;1;1;3.5;4;0.3;226
0.3;1;1;4;6;0.25;227
0.3;1;1;6;8;0.2;228
0.3;1;1;8;10;0.15;229
0.3;1;1;10;25;0.1;230
0.3;1;1;25;50;0.05;231
0.3;1;1;50;;0.05;232
3;1;1;;0.25;0.95;233
3;1;1;0.25;0.5;0.95;234
3;1;1;0.5;0.75;0.9;235
3;1;1;0.75;1;0.9;236
3;1;1;1;1.25;0.9;237
3;1;1;1.25;2;0.8;238
3;1;1;2;2.5;0.8;239
3;1;1;2.5;3;0.75;240
3;1;1;3;3.5;0.7;241
3;1;1;3.5;4;0.7;242
3;1;1;4;6;0.6;243
3;1;1;6;8;0.55;244
3;1;1;8;10;0.45;245
3;1;1;10;25;0.4;246
3;1;1;25;50;0.25;247
3;1;1;50;;0.1;248
9;1;1;;0.25;1;249
9;1;1;0.25;0.5;1;250
9;1;1;0.5;0.75;0.95;251
9;1;1;0.75;1;0.95;252
9;1;1;1;1.25;0.95;253
9;1;1;1.25;2;0.95;254
9;1;1;2;2.5;0.9;255
9;1;1;2.5;3;0.9;256
9;1;1;3;3.5;0.9;257
9;1;1;3.5;4;0.85;258
9;1;1;4;6;0.8;259
9;1;1;6;8;0.75;260
9;1;1;8;10;0.7;261
9;1;1;10;25;0.65;262
9;1;1;25;50;0.45;263
9;1;1;50;;0.3;264
